Geo Point;Geo Shape;Haltestellennummer;Haltestellenname;Angezeigter_Name;Transportunternehmen_Nummer;Transportunternehmen_Name;Gemeindenummer;Gemeinde_Name;Gebiet;Höhe;Haltestellenart;Haltestellentyp;Zum Objekt navigieren
47.56177786835639, 7.593590629999327;"{""coordinates"": [7.593590629999327, 47.56177786835639], ""type"": ""Point""}";898;Basel, Claraplatz;Claraplatz;823;BVB;2701;Basel;BS;268;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56177786835639&lon=7.593590629999325&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56238016793014, 7.626144233282918;"{""coordinates"": [7.626144233282918, 47.56238016793014], ""type"": ""Point""}";89292;Basel, Allmendstrasse;Allmendstrasse;823;BVB;2701;Basel;BS;257;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.562380167930144&lon=7.62614423328292&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.563576933432486, 7.557041657870757;"{""coordinates"": [7.557041657870757, 47.563576933432486], ""type"": ""Point""}";78170;Basel, Bachgraben;Bachgraben;823;BVB;2701;Basel;BS;251;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.56357693343249&lon=7.557041657870755&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.5686136984108, 7.5904182767075055;"{""coordinates"": [7.590418276707505, 47.5686136984108], ""type"": ""Point""}";88766;Basel, Bläsiring;Bläsiring;823;BVB;2701;Basel;BS;251;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.5686136984108&lon=7.5904182767075055&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.53242397730805, 7.593497735764007;"{""coordinates"": [7.593497735764007, 47.53242397730805], ""type"": ""Point""}";89299;Basel, Bruderholz;Bruderholz;823;BVB;2701;Basel;BS;344;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.53242397730805&lon=7.593497735764007&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56853542296217, 7.561290384616806;"{""coordinates"": [7.561290384616806, 47.56853542296217], ""type"": ""Point""}";89302;Basel, Waldighoferstrasse;Waldighoferstrasse;823;BVB;2701;Basel;BS;275;Tramhaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.56853542296217&lon=7.561290384616807&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56108886908375, 7.564377643571575;"{""coordinates"": [7.564377643571575, 47.56108886908375], ""type"": ""Point""}";89304;Basel, Buschweilerweg;Buschweilerweg;823;BVB;2701;Basel;BS;275;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.561088869083754&lon=7.564377643571575&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.56268511440921, 7.59681376150592;"{""coordinates"": [7.59681376150592, 47.56268511440921], ""type"": ""Point""}";89305;Basel, Clarastrasse;Clarastrasse;823;BVB;2701;Basel;BS;262;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56268511440921&lon=7.59681376150592&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252C
47.57004169533499, 7.616212587591432;"{""coordinates"": [7.616212587591432, 47.57004169533499], ""type"": ""Point""}";89307;Basel, Eglisee;Eglisee;823;BVB;2701;Basel;BS;258;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57004169533499&lon=7.616212587591432&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.55080761630954, 7.614107715443813;"{""coordinates"": [7.614107715443813, 47.55080761630954], ""type"": ""Point""}";88947;Basel, Emanuel-Büchel-Strasse;Emanuel-Büchel-Strasse;879;BLT Auto;2701;Basel;BS;266;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.55080761630954&lon=7.614107715443813&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
