Name,Anteil in %,KI-,KI+
Schweiz,1451,1448,1454
Zürich,1722,1714,1731
Bern,1297,1288,1305
Luzern,1452,1442,1461
Uri,1260,1211,1308
Schwyz,1695,1663,1727
Obwalden,1383,1331,1434
Nidwalden,1528,1472,1585
Glarus,1213,1164,1262
Zug,1931,1907,1954
Freiburg,1287,1272,1302
Solothurn,1251,1235,1267
Basel-Stadt,1412,1392,1432
Basel-Landschaft,1489,1471,1508
Schaffhausen,1265,1237,1294
Appenzell Ausserrhoden,1226,1184,1268
Appenzell Innerrhoden,1346,1255,1437
St. Gallen,1321,1309,1333
Graubünden,1330,1307,1353
Aargau,1456,1448,1464
Thurgau,1344,1327,1361
Tessin,1225,1216,1234
Waadt,1444,1436,1452
Wallis,1206,1190,1222
Neuenburg,1070,1059,1082
Genf,1529,1517,1541
Jura,981,953,1008
