Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
70789;85;ch:1:sloid:70789;8570789;3;Botyre (Ayent), Le Creux;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Ayent;6082;Botyre (Ayent);ch:1:sboid:100602;;2597781.0;1125164.0;970.0;46.27789196426288, 7.409856050430142
70811;85;ch:1:sloid:70811;8570811;5;Lens, poste;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Lens;6240;Lens;ch:1:sboid:100602;;2600599.0;1125332.0;1128.0;46.27940692556384, 7.4464154179503135
70795;85;ch:1:sloid:70795;8570795;0;Anzère, Chamossaire;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Ayent;6082;Anzère;ch:1:sboid:100602;;2597491.0;1127118.0;1415.0;46.295468344081314, 7.406082921743938
70809;85;ch:1:sloid:70809;8570809;9;Icogne, village;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Icogne;6239;Icogne;ch:1:sboid:100602;bis 2018: Icogne, poste;2600041.0;1126606.0;1030.0;46.290867545770276, 7.439175948545971
70813;85;ch:1:sloid:70813;8570813;1;Lens, La Trionnaz;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Lens;6240;Lens;ch:1:sboid:100602;;2601114.0;1126380.0;1250.0;46.28883372823373, 7.453099275619189
70824;85;ch:1:sloid:70824;8570824;8;Flanthey, Vaas-d'en-Bas;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Lens;6240;Flanthey;ch:1:sboid:100602;;2601364.0;1124170.0;634.0;46.26895298787004, 7.456337158273605
70825;85;ch:1:sloid:70825;8570825;5;Flanthey, Oasis;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Lens;6240;Flanthey;ch:1:sboid:100602;;2601454.0;1124322.0;673.0;46.270320141587376, 7.457505027569213
70834;85;ch:1:sloid:70834;8570834;7;Argnou (Ayent), centre;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Ayent;6082;Argnou (Ayent);ch:1:sboid:100602;;2597014.0;1123510.0;812.0;46.26301017175057, 7.399916271555145
70845;85;ch:1:sloid:70845;8570845;3;Fey (Nendaz), Crevey;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Nendaz;6024;Fey (Nendaz);ch:1:sboid:100602;;2587338.0;1115164.0;842.0;46.187819403380225, 7.274647492437029
70833;85;ch:1:sloid:70833;8570833;9;Argnou (Ayent), Les Frisses;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Ayent;6082;Argnou (Ayent);ch:1:sboid:100602;;2597107.0;1123416.0;796.0;46.26216500134306, 7.401123069780611
70800;85;ch:1:sloid:70800;8570800;8;Fortunau (Ayent), Les Giettes;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Ayent;6082;Fortunau (Ayent);ch:1:sboid:100602;;2598925.0;1127864.0;1150.0;46.30218305472996, 7.424691025239197
70838;85;ch:1:sloid:70838;8570838;8;Sion, Tennis Iles;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Sion;6266;Sion;ch:1:sboid:100602;;2590713.0;1117947.0;482.0;46.21290949135615, 7.318304640164601
70839;85;ch:1:sloid:70839;8570839;6;Sion, Camping des Iles;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Sion;6266;Sion;ch:1:sboid:100602;;2590204.0;1117819.0;478.0;46.21175078206399, 7.311711753640909
70875;85;ch:1:sloid:70875;8570875;0;Veysonnaz, La Fantanette;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Veysonnaz;6267;Veysonnaz;ch:1:sboid:100602;bis 2018: Veysonnaz, poste;2592257.0;1116043.0;1261.0;46.1958016206825, 7.338343567583871
70872;85;ch:1:sloid:70872;8570872;7;Haute-Nendaz, bif. Planchouet;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Nendaz;6024;Haute-Nendaz;ch:1:sboid:100602;;2590479.0;1110975.0;1562.0;46.15018912388131, 7.315415558556283
70867;85;ch:1:sloid:70867;8570867;7;Haute-Nendaz, bif.Le Déserteur;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Nendaz;6024;Haute-Nendaz;ch:1:sboid:100602;;2588878.0;1114363.0;1350.0;46.18064133966835, 7.294612701063857
70876;85;ch:1:sloid:70876;8570876;8;Salins, Pravidondaz;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Sion;6266;Pravidondaz (Salins);ch:1:sboid:100602;;2593320.0;1117763.0;740.0;46.21128552703752, 7.352088676142505
70870;85;ch:1:sloid:70870;8570870;1;Haute-Nendaz, Chapelle-Bleusy;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Nendaz;6024;Haute-Nendaz;ch:1:sboid:100602;;2590168.0;1113330.0;1414.0;46.17136914629247, 7.311340420769463
70647;85;ch:1:sloid:70647;8570647;3;Bex, route des Monts bif.;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;818;TPC Auto;Transports Publics du Chablais (Bus);CH;;Bus;BUS;BUS;BUS;VD;Bex;5402;Bex;ch:1:sboid:100617;;2569035.0;1123755.0;595.0;46.264504251667496, 7.037018680762522
70652;85;ch:1:sloid:70652;8570652;3;Massongex, gare;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Massongex;6215;Massongex;ch:1:sboid:100602;bis 2018: Massongex, poste;2565109.0;1121229.0;399.0;46.24158891542053, 6.986287737431761
70648;85;ch:1:sloid:70648;8570648;1;Bex, Les Véneresses;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;818;TPC Auto;Transports Publics du Chablais (Bus);CH;;Bus;BUS;BUS;BUS;VD;Bex;5402;Frenières-sur-Bex;ch:1:sboid:100617;;2570701.0;1123688.0;768.0;46.26397644068502, 7.058631092902527
70656;85;ch:1:sloid:70656;8570656;4;Daviaz, Vers-chez-Combe;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Massongex;6215;Massongex;ch:1:sboid:100602;;2565019.0;1119381.0;674.0;46.2249606382973, 6.985259767654043
70669;85;ch:1:sloid:70669;8570669;7;Lavey-les-Bains, Et. Thermal;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VD;Lavey-Morcles;5406;Lavey-les-Bains;ch:1:sboid:100602;;2567558.0;1117097.0;419.0;46.20454256509827, 7.01832590055838
70686;85;ch:1:sloid:70686;8570686;1;Versegères, Les Matteys;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;835;TMR Auto;Service d'automobiles TMR;CH;;Bus;BUS;BUS;BUS;VS;Val de Bagnes;6037;Versegères;ch:1:sboid:100634;;2584077.0;1101682.0;879.0;46.06647232247592, 7.232871615726826
70663;85;ch:1:sloid:70663;8570663;0;Vérossaz, La Doey place;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VS;Vérossaz;6220;Vérossaz;ch:1:sboid:100602;;2564843.0;1117846.0;881.0;46.21114343756093, 6.983094540785853
70672;85;ch:1:sloid:70672;8570672;1;Sembrancher, gare;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;835;TMR Auto;Service d'automobiles TMR;CH;;Bus;BUS;BUS;BUS;VS;Sembrancher;6035;Sembrancher;ch:1:sboid:100634;;2577360.0;1102910.0;712.0;46.077325953957626, 7.146007744843586
70666;85;ch:1:sloid:70666;8570666;3;Lavey-Village, centre;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;VD;Lavey-Morcles;5406;Lavey-Village;ch:1:sboid:100602;bis 2018: Lavey-Village, poste;2567462.0;1118813.0;438.0;46.219974128716665, 7.016962298697896
