Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
72586;85;ch:1:sloid:72586;8572586;1;Niederweningen, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Niederweningen;91;Niederweningen;ch:1:sboid:100602;;2670144.0;1262695.0;446.0;47.511259512276624, 8.369780316436968
73168;85;ch:1:sloid:73168;8573168;7;Thalwil, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;807;SZU Auto;Automobildienst SZU;CH;;Bus;BUS;BUS;BUS;ZH;Thalwil;141;Thalwil;ch:1:sboid:100606;;2685202.0;1238947.0;435.0;47.29590864570437, 8.565123861000293
73330;85;ch:1:sloid:73330;8573330;3;Unterstammheim, Adler;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Stammheim;292;Unterstammheim;ch:1:sboid:100602;;2701572.0;1277424.0;444.0;47.63960198104919, 8.790283698878204
73186;85;ch:1:sloid:73186;8573186;9;Uerzlikon, Weid;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Kappel am Albis;6;Uerzlikon;ch:1:sboid:100602;;2680604.0;1230107.999;576.0;47.21699069625439, 8.502754525844862
73197;85;ch:1:sloid:73197;8573197;6;Kleinandelfingen, Dorf;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Kleinandelfingen;33;Kleinandelfingen;ch:1:sboid:100602;;2693588.0;1272836.0;366.0;47.599533352551425, 8.68308745651967
73229;85;ch:1:sloid:73229;8573229;7;Lufingen, Hintermarchlen;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Lufingen;63;Lufingen;ch:1:sboid:100602;;2686775.0;1259625.0;464.0;47.48166603621192, 8.589929299211592
73234;85;ch:1:sloid:73234;8573234;7;Kloten, Hohrainli;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Kloten;62;Kloten;ch:1:sboid:100575;;2686195.978;1257209.841;442.2;47.460022606598166, 8.581781302076635
73221;85;ch:1:sloid:73221;8573221;4;Embrach, Hard;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Embrach;56;Embrach;ch:1:sboid:100602;;2686373.0;1264182.0;416.0;47.52269970688824, 8.5854800496178
73233;85;ch:1:sloid:73233;8573233;9;Kloten, Kaserne Ost;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Kloten;62;Kloten;ch:1:sboid:100575;;2686081.974;1256915.836;438.6;47.45739352853144, 8.580212836948766
73238;85;ch:1:sloid:73238;8573238;8;Oberglatt ZH, Rietli;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Oberglatt;92;Oberglatt ZH;ch:1:sboid:100602;;2681246.0;1258758.0;430.0;47.474575346070644, 8.516423665705522
73205;85;ch:1:sloid:73205;8573205;7;Zürich Flughafen, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus_Tram;BUS|TRAM;BUS|TRAM;BUS|TRAM;ZH;Kloten;62;Kloten;ch:1:sboid:100575;;2684851.966;1256093.835;430.5;47.45016097561483, 8.563746861286903
73236;85;ch:1:sloid:73236;8573236;2;Oberglatt ZH, Mösli Hofstetten;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Oberglatt;92;Oberglatt ZH;ch:1:sboid:100602;;2680340.0;1259270.0;430.0;47.47929111959261, 8.504498508971539
73230;85;ch:1:sloid:73230;8573230;5;Lufingen, Augwil;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Lufingen;63;Lufingen;ch:1:sboid:100602;;2686950.0;1259075.0;464.0;47.47669678092622, 8.592143549220463
73241;85;ch:1:sloid:73241;8573241;2;Rümlang, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;773;VBG;Verkehrsbetriebe Glattal;CH;;Bus;BUS;BUS;BUS;ZH;Rümlang;97;Rümlang;ch:1:sboid:100575;;2682500.0;1256482.0;430.0;47.45395089712847, 8.53263603490657
73262;85;ch:1:sloid:73262;8573262;8;Niederglatt ZH,altes Schulhaus;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Niederglatt;89;Niederglatt ZH;ch:1:sboid:100602;;2679853.0;1260808.0;424.0;47.49318183746479, 8.498313766608414
73261;85;ch:1:sloid:73261;8573261;0;Niederglatt ZH, Nöschikon;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Niederglatt;89;Niederglatt ZH;ch:1:sboid:100602;;2679600.0;1261050.0;424.0;47.49538884379609, 8.494999960708716
73255;85;ch:1:sloid:73255;8573255;2;Bülach, Hinterbirch;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Bülach;53;Bülach;ch:1:sboid:100602;;2682111.0;1264053.0;428.0;47.52208600824484, 8.528873054624716
73269;85;ch:1:sloid:73269;8573269;3;Bachs, Milchhütte;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;ZH;Bachs;81;Bachs;ch:1:sboid:100602;;2675275.0;1264500.0;470.0;47.52692451649332, 8.438192117429761
